makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Muhayyerkürdî Sazsemâîsi,1,49.398229059549315,49.398229059549315,1582.9761904761904,1582.9761904761904
Kürdî Beste,1,43.861684630659674,43.861684630659674,1588.9285714285713,1588.9285714285713
Hicazkâr Türkü,2,41.60602091736939,54.44348768535588,1590.7142857142858,802.2619047619048
Acemaşîrân Fantezi,1,50.54028843396699,50.54028843396699,1611.6904761904761,1611.6904761904761
Rast Çocuk Şarkısı,1,44.16251084613005,44.16251084613005,1620.2619047619048,1620.2619047619048
Gülizâr Köçekçe,1,47.91010473676469,47.91010473676469,1623.2142857142858,1623.2142857142858
Zâvil Türkü,2,43.92400981302153,46.26926139066665,1624.2738095238096,1493.952380952381
Beyâtî-Arabân İlâhî,1,42.363785868036,42.363785868036,1629.1666666666667,1629.1666666666667
Dilkeşhâveran Şarkı,2,45.17800726191268,46.139646362738226,1632.845238095238,1522.7857142857142
Rast Taksim,1,50.1275418746603,50.1275418746603,1635.1904761904761,1635.1904761904761
Gülizâr Taksim,1,49.68440734357368,49.68440734357368,1635.7380952380952,1635.7380952380952
Rast-Mâye Küpe,1,41.46657139777385,41.46657139777385,1637.857142857143,1637.857142857143
Sûzinâk İlâhî,1,41.99268546348238,41.99268546348238,1645.2619047619048,1645.2619047619048
Nihâvent Karşılama,1,48.1803693711459,48.1803693711459,1651.642857142857,1651.642857142857
Rast Mersiye,1,41.92283250210475,41.92283250210475,1672.8809523809523,1672.8809523809523
Segâh-Mâye İlâhî,1,41.980723007050905,41.980723007050905,1683.5,1683.5
Şehnâzbûselik Ağırsemâî,1,48.62605796193621,48.62605796193621,1687.5238095238096,1687.5238095238096
Tâhir Zeybek,1,46.835841281509005,46.835841281509005,1693.095238095238,1693.095238095238
Rengidil Nakış,1,45.55282685204344,45.55282685204344,1693.452380952381,1693.452380952381
Sûzidil Longa,1,48.63461177756595,48.63461177756595,1695.1666666666667,1695.1666666666667
Segâh Türkü,14,40.287990541157875,61.46843312315694,1700.5025510204082,348.6666666666667
Karcığar Köçekçe,2,44.58994377446206,53.54078200877753,1706.1011904761904,1353.297619047619
