makam,usul,count,shapeh_mean,shapeh_max,shapeh_median,time_mean,time_max,avg_rank,best_rank,top_k_count
Pesendîde Nakış,Yürüksemâî(6/4),42,62.126787453431355,87.95228662640864,63.398732928474345,,,383.2142857142857,24,0
Hicazkâr Beste,Yürüksemâî(6/4),42,61.281651977117754,84.8152514412947,63.817798547807286,,,383.23809523809524,38,0
Nevâ Nakış,Ağır Aksaksemâî,42,64.34317481210947,107.00518253551066,61.26588771932815,,,383.45238095238096,25,0
Eviç Peşrev,Devr-i Kebîr,42,65.47308582550959,122.31191940430757,61.08932750974742,,,385.8333333333333,39,0
Karcığar Nakış,Yürüksemâî(6/4),42,66.01103993756911,126.72474439900124,60.174782007285074,,,389.6666666666667,79,0
Dügâh Kâr,Hafîf (32/2),42,67.25718832762048,146.2243761512197,61.064057663186375,,,390.6190476190476,51,0
Gülşen-i-Vefâ Sazsemâîsi,Aksaksemâî,42,60.37856496040778,78.52700602444816,64.23581106395818,,,391.73809523809524,43,0
Acemkürdî Şarkı,Devr-i Hindî,42,60.50221250539204,78.79402199229881,64.89143350242807,,,393.35714285714283,37,0
Beyâtî Beste,Hafîf,42,67.01908159132151,140.24450085687073,60.976947475187686,,,396.0238095238095,33,0
Nihâvent Peşrev,Devr-i Kebîr,84,65.39666066555397,152.7535560484523,60.71528285275919,,,396.3333333333333,17,0
Hisarbûselik Sazsemâîsi,Aksaksemâî,42,65.12901708741607,118.80392835621882,63.17239908087621,,,396.4047619047619,66,0
Eviç Sazsemâîsi,Aksaksemâî,84,62.69598048066284,110.81055396717544,61.2864579549355,,,398.7857142857143,38,0
Hicazkâr Peşrev,Devr-i Kebîr,42,62.608946548819176,100.47006508797342,62.206295683737025,,,403.4761904761905,36,0
Nev`eser Şarkı,Ağırdüyek,42,64.89833386618514,119.26093168825584,59.22904905174406,,,404.1904761904762,49,0
Şedarabân Peşrev,Fahte,42,65.88718182960905,136.47318557836283,60.578150797822616,,,404.9047619047619,22,0
Hicazkâr Nakış,Lenk Fahte,42,65.00116047062718,112.14614023616289,62.61643289699167,,,409.73809523809524,23,0
Sabâ Peşrev,Fahte,42,61.75016953914853,87.89726670398997,63.457834204449355,0.0,0.0,410.07142857142856,4,1
Hicazkâr Şarkı,Katikofti,42,59.695597588782505,73.22325431319999,65.16513135120572,,,415.6190476190476,44,0
Irak Sazsemâîsi,Aksaksemâî,42,65.1961159067778,112.72325858686878,61.708213492541645,0.0,0.0,419.4761904761905,9,1
Hisarbûselik Beste,Çenber,42,60.75924419966491,85.72541536497835,64.91400559565672,,,420.73809523809524,18,0
Ruhnevaz Nakış,Devr-i Revân,84,64.0674189629325,119.29271567424964,61.255880568055915,,,421.42857142857144,38,0
Acemkürdî Ağırsemâî,Ağır Aksaksemâî,42,62.24002037318889,92.1811152280785,60.94529597292194,,,423.6666666666667,26,0
Muhayyer Murabbâ,Ağırçenber (12/1),42,67.60037484144178,157.2743659656431,61.878340406254836,,,424.6666666666667,11,0
Sabâ Beste,Muhammes,42,66.04348525682674,129.11582425534894,61.37445314848284,,,427.8809523809524,45,0
Hüzzam Beste,Ağırçenber,42,61.72230844179118,89.4732397114988,62.59402569614492,,,430.23809523809524,40,0
Acemaşîrân Ağırsemâî,Ağırsenginsemâî,42,66.39164279347872,146.3590244923953,59.737093876829924,,,442.5238095238095,39,0
Ruhnevaz Şarkı,Müsemmen,42,62.633624627944855,99.538057019287,62.40446641110118,,,442.64285714285717,45,0
Eviç-Horasânî Peşrev,Düyek,42,63.103420712219716,102.76168242938122,63.29712075820569,,,445.0952380952381,89,0
Hicazkâr Şarkı,Ağırdüyek,84,63.51476516055116,138.34146683704375,59.394601359311466,,,445.92857142857144,52,0
Karcığar Peşrev,Devr-i Kebîr,42,65.35945728614031,145.77185376075744,59.12480252089459,,,446.14285714285717,60,0
Hicaz Türkü,Türkaksağı (5/4),42,59.68256093216979,74.05404837507987,65.22959109538391,,,446.6666666666667,25,0
Karcığar Şarkı,Ağırevfer,42,66.31426793785919,139.55224844830238,61.376878099300015,,,447.0952380952381,31,0
Segâh Şarkı,Yürüksemâî II,42,59.406824780874345,75.12675914885608,61.59202277010643,0.0,0.0,448.6666666666667,7,1
Uşşak Peşrev,Devr-i Kebîr,84,64.02743408663183,118.61259264957488,59.11415325090843,,,450.92857142857144,52,0
Segâh Türkü,Semâî,42,58.83630478800797,70.3606356654742,63.27458036135282,0.0,0.0,452.1904761904762,4,1
Sûzinâk-Zirgüle Şarkı,Devr-i Hindî (7/8),42,59.69597187396902,73.46989485350568,64.12664518435882,0.0,0.0,454.5,8,1
Eviç Şarkı,Düyek,42,60.98223747989758,86.75225899001812,61.93063159124345,,,457.7857142857143,68,0
Bestenigâr Peşrev,Fahte,42,66.16012881854833,149.61296018507872,59.930964581258735,,,460,28,0
Sabâ Peşrev,Devr-i Kebîr,84,66.11562515665874,149.3311886639518,60.860094334112475,,,460.2857142857143,21,0
Hicazaşîrân Beste,Çenber,42,65.71126160190799,123.45700974254001,60.35176673461791,,,461.26190476190476,33,0
Sultânîyegâh Yürüksemâî,Yürüksemâî(6/4),42,62.30808928141511,95.75946154624175,61.97415641342319,,,461.92857142857144,38,0
Mâhur Peşrev,Muhammes,42,59.99566178539081,83.69002938859467,63.11715799610516,,,464.95238095238096,63,0
Yegâh Ağırsemâî,Aksaksemâî,42,62.58657999870155,99.08085140026748,60.61654864218411,,,467.0952380952381,79,0
Nihâvent Peşrev,Darbeyn,42,65.80781398592656,127.80835089098866,61.23920506914074,,,470.0238095238095,21,0
Nikrîz Türkü,Nîmsofyan,42,60.219554503283284,77.23853481544157,64.50942308322391,0.0,0.0,471.3809523809524,10,1
Nevâ Peşrev,Devr-i Kebîr,84,65.96488646151289,159.63563627091114,61.34806716212722,0.0,0.0,472.32142857142856,7,1
Rast Medhal,Sofyan,42,63.83408039435509,111.11315534927982,60.318287526728156,,,474.5238095238095,52,0
Dilkeşhâveran Beste,Hâvî,42,63.32501151685859,112.96590111015662,60.30717563211112,,,485.0952380952381,32,0
Hisar Nakış,Yürüksemâî(6/4),42,62.19276860668832,93.89662351685891,63.05069746272284,,,488.5952380952381,20,0
Nihâvent Şarkı,Semâî (3/8),42,63.63959531614051,116.00597601332245,58.31035702227854,,,489.1904761904762,112,0
Sabâ Sazsemâîsi,Aksaksemâî,84,61.538310844678335,101.07617743132568,60.124753729844215,0.0,0.0,490.5357142857143,10,1
Mâhur Şarkı,Ağır Aksaksemâî,42,58.73126108228412,73.13188826350863,62.98843082283781,,,494.0238095238095,26,0
Hüzzam Şarkı,Devr-i Hindî (7/8),42,64.27740757971081,124.53870519236503,60.52973654257348,,,496.2142857142857,107,0
Karcığar Şarkı,Devr-i Hindî,42,59.55558608176009,77.07249495350955,64.5669053510604,,,501,34,0
Muhayyersünbüle Şarkı,Şarkı Devr-i Revânı,42,60.37827051820531,87.1235937849461,60.65204003572777,,,503.73809523809524,46,0
Rast Beste,Hafîf (32/2),42,63.71691186670924,112.429396857144,59.7170403989896,,,506.07142857142856,53,0
Hüzzam Yürüksemâî,Yürüksemâî(6/4),42,65.00551922258843,146.43330299028628,58.78436741868981,,,509.8809523809524,21,0
Bûselik Şarkı,Sofyan,126,60.25352301796795,93.90046483269295,61.95825444853282,,,514.0793650793651,30,0
Mâhur Şarkı,Ağıraksak,168,62.145055919936624,110.54483719459301,59.70899771073806,,,515.077380952381,19,0
Hüseynî Beste,Çenber,42,65.36340532497752,137.18013442112462,58.78909516462874,,,515.6190476190476,49,0
Sabâ Mî`râciye,,42,66.1610615976072,151.51912110579784,61.081009882146375,,,516.7619047619048,29,0
Tâhir Türkü,Yürüksemâî(6/4),42,58.90030926776243,80.33327991247522,60.87281918250407,,,517.5952380952381,89,0
Ruhnevaz Şarkı,Aksak,42,61.03265589919236,95.19711513120875,57.755395506664684,,,518.5,75,0
Acemaşîrân Beste,Zencîr,42,65.83501559855134,151.9466902573179,60.62512019693055,,,519.8333333333334,28,0
Mâhur Tavşanca,Düyek,42,62.51471617447226,112.89633789333772,59.42246069293253,,,521.9285714285714,61,0
Hicaz Beste,Berefşan,42,64.85192648842208,138.92226339189705,60.01604299595559,,,529.1428571428571,62,0
Rast Şarkı,Ağırdüyek,42,63.38070874792154,138.9404051152966,60.28687463762842,,,533.547619047619,31,0
Sûzidil Ağırsemâî,Aksaksemâî,126,61.23798702269983,143.38009296653877,59.80921417205496,,,536.7777777777778,15,0
Müberka Sazsemâîsi,Aksaksemâî,42,63.59854857733297,115.37501513590983,57.373732679177024,,,536.9047619047619,28,0
Hüzzam Şarkı,Şarkı Devr-i Revânı,42,59.25753736085217,82.6543243116188,61.457483051342344,,,537.0714285714286,45,0
Nişâburek Şarkı,Ağıraksak,42,61.03754531530273,97.20683487826449,59.95724693114968,,,539.6428571428571,123,0
Uşşak Fantezi,Sofyan,42,62.461795827447666,110.0808841650606,58.86950744544298,,,541.9047619047619,28,0
Nihâvent Beste,Muhammes,42,62.22457234992005,109.05913119165548,57.42672617037968,,,549.0238095238095,69,0
Nev`eser Ağırsemâî,Ağır Aksaksemâî,42,65.4540998829625,155.0961789128645,58.62663165107482,,,553.1428571428571,13,0
Acemaşîrân Beste,Devr-i Kebîr,42,65.21699572897691,149.1277634609881,56.97685844042424,,,553.7380952380952,42,0
Bûselik Peşrev,Muhammes,42,64.06160420428593,125.52355788612958,59.88697179236228,,,558.0952380952381,91,0
Sûzidil Şarkı,Ağıraksak,84,63.46635087986352,132.52819196749746,60.757870316949415,,,560.5595238095239,33,0
Hüseynî Beste,Düyek,42,57.9884590765361,74.88883831714317,62.55330190762311,,,560.8809523809524,55,0
Muhayyer Peşrev,Darb-ı Fetih,42,59.22926700884501,81.22028838716017,60.780399673491615,,,561.2142857142857,91,0
Bûselik Murabbâ,Zencîr,42,61.324871808595475,108.64858619918424,58.44669096959559,,,562.8095238095239,128,0
Bûselik Peşrev,Devr-i Kebîr,42,63.877354477682005,134.38816307749744,60.431843888582506,,,565.8095238095239,20,0
Eviç Şarkı,Aksaksemâî,42,60.465165174240454,90.61930444618235,60.82787407777782,,,566.8333333333334,30,0
Muhayyer Şarkı,Aksaksemâî,42,57.667656173589016,72.59074992912825,61.962728979604535,,,569.2619047619048,70,0
Ferahfezâ Yürüksemâî,Yürüksemâî II (6/4),42,59.86652588320273,86.01209305771015,59.76333776370305,,,571.9285714285714,34,0
Sabâ Peşrev,Düyek,84,62.62702723676859,141.36491574462295,58.66705094070561,,,573.9166666666666,20,0
