raga,makam,usul,metric,agg,value
Bhairav,Acemkürdî Aranağme,Sofyan,shapeh_score,mean,6.930923591349633
Bhairav,Acemkürdî Aranağme,Sofyan,shapeh_score,median,7.051500200150148
Bhairav,Acemkürdî Aranağme,Sofyan,shapeh_score,max,10.23262290714885
Bhairav,Acemkürdî Aranağme,Sofyan,shapeh_score,top_5_mean,9.108157863621535
Bhairav,Acemkürdî Fantezi,Nîmsofyan,shapeh_score,mean,19.57681522549402
Bhairav,Acemkürdî Fantezi,Nîmsofyan,shapeh_score,median,20.349876348520525
Bhairav,Acemkürdî Fantezi,Nîmsofyan,shapeh_score,max,27.156930537214393
Bhairav,Acemkürdî Fantezi,Nîmsofyan,shapeh_score,top_5_mean,25.80303872086248
Bhairav,Acemkürdî Fantezi,Semâî,shapeh_score,mean,14.487089925382426
Bhairav,Acemkürdî Fantezi,Semâî,shapeh_score,median,14.732476533997744
Bhairav,Acemkürdî Fantezi,Semâî,shapeh_score,max,21.30218327485531
Bhairav,Acemkürdî Fantezi,Semâî,shapeh_score,top_5_mean,19.85056305584403
Bhairav,Acemkürdî Fantezi,Sofyan,shapeh_score,mean,22.630274733128044
Bhairav,Acemkürdî Fantezi,Sofyan,shapeh_score,median,21.180303231035953
Bhairav,Acemkürdî Fantezi,Sofyan,shapeh_score,max,48.18496794036231
Bhairav,Acemkürdî Fantezi,Sofyan,shapeh_score,top_5_mean,39.93969582875692
Bhairav,Acemkürdî Küpe,Müsemmen,shapeh_score,mean,14.964753019601282
Bhairav,Acemkürdî Küpe,Müsemmen,shapeh_score,median,15.266942603205536
Bhairav,Acemkürdî Küpe,Müsemmen,shapeh_score,max,19.52229857843535
Bhairav,Acemkürdî Küpe,Müsemmen,shapeh_score,top_5_mean,18.690958769069464
Bhairav,Acemkürdî Nefes,Bektâşî Raksânı,shapeh_score,mean,24.386408346461298
Bhairav,Acemkürdî Nefes,Bektâşî Raksânı,shapeh_score,median,23.735515824682707
Bhairav,Acemkürdî Nefes,Bektâşî Raksânı,shapeh_score,max,36.040127611745746
Bhairav,Acemkürdî Nefes,Bektâşî Raksânı,shapeh_score,top_5_mean,34.29231879288804
Bhairav,Acemkürdî Peşrev,Fahte,shapeh_score,mean,23.911102841901457
Bhairav,Acemkürdî Peşrev,Fahte,shapeh_score,median,21.659789621538152
Bhairav,Acemkürdî Peşrev,Fahte,shapeh_score,max,53.601620717605876
Bhairav,Acemkürdî Peşrev,Fahte,shapeh_score,top_5_mean,42.92085934929118
Bhairav,Acemkürdî Şarkı,Ağıraksak,shapeh_score,mean,24.116799007939047
Bhairav,Acemkürdî Şarkı,Ağıraksak,shapeh_score,median,21.799038210871352
Bhairav,Acemkürdî Şarkı,Ağıraksak,shapeh_score,max,54.76620539536414
